id;name;natural_rating;desciption;inci_name;rating;categories
67;Ekstrakt z konopi ;1;"Doskona³y œrodek na skórê twarzy, który ma nastêpuj¹ce dzia³anie:
nawil¿anie skóry;
przywrócenie funkcji barierowej skóry;
normalizacja funkcjonowania gruczo³ów ³ojowych;
aktywacja procesów regeneracyjnych;
usuwanie procesów zapalnych;
poprawa cery;
wyg³adzenie drobnych zmarszczek;
normalizacja turgoru skóry;
ochrona UV.";CANNABIS SATIVA SEED EXTRACT;1;{Substancja aktywna, Ekstrakt}
68;Olej canol, Kanadyjski olej rzepakowy;1;"Olej rzepakowy jest u¿ywany w Kanadzie zamiast oleju s³onecznikowego. Jest bardzo przydatny, poniewa¿ zawiera ogromn¹ iloœæ ró¿nych minera³ów i niezbêdnych kwasów. Ten produkt jest zrobiony z rzepaku. Ale nie zwyczajny, ale specjalny, w którym zawartoœæ szkodliwego kwasu jest znacznie zmniejszona. To sprawia, ¿e ??jest smaczniejszy.

Olej rzepakowy mo¿na stosowaæ zamiast tradycyjnego oleju lub do celów kosmetycznych. Z jego pomoc¹ mo¿esz poprawiæ swoje zdrowie, gdy¿ uzupe³nia zapas kwasów, a tak¿e wzmacnia œciany naczyñ krwionoœnych. Kolejn¹ korzystn¹ w³aœciwoœci¹ organicznego oleju rzepakowego jest wzmocnienie uk³adu odpornoœciowego i obni¿enie poziomu cholesterolu.

Organiczny olej rzepakowy pomo¿e Ci oczyœciæ organizm ze wszystkich szkodliwych rzeczy. Mo¿esz schudn¹æ, jeœli u¿ywasz go z umiarem. Warto zauwa¿yæ, ¿e codzienne stosowanie ³y¿ki takiego olejku pozytywnie wp³ynie na kondycjê skóry i loków.

Olejek ten odm³adza i wzmacnia naczynia krwionoœne w organizmie. Sprawia, ¿e ??skóra staje siê miêkka i doskonale nawil¿a. Jeœli masz stan zapalny, po prostu zastosuj ten œrodek do obszarów problemowych. Dziêki temu, ¿e przyspiesza regeneracjê, usprawnia proces gojenia.

Olej rzepakowy usprawnia procesy metaboliczne: w organizmie, w komórkach. Dziêki temu skóra nabiera œwie¿ego kolorytu, staje siê bardziej elastyczna, zdrowsza i bardziej miêkka.

Dobroczynne w³aœciwoœci organicznego oleju rzepakowego:
Pielêgnacja skóry: zmiêkcza j¹, uelastycznia.
Wyrównuje koloryt i wzmacnia naczynia krwionoœne.
Odm³adza.
Ma dzia³anie antyoksydacyjne.
Wspomaga regeneracjê komórek, przyspiesza gojenie siê ran.
Oczyszcza organizm, a tak¿e zapobiega rozwojowi wielu chorób.
Poprawia kondycjê naszych w³osów.
Normalizuje ró¿ne procesy metaboliczne.
Zastosowanie organicznego oleju rzepakowego:
Zmiêkczaj¹ce kremy do stóp.
Kosmetyki pielêgnacyjne do cia³a.
Œrodki do gojenia siê ran.
Œrodki do pielêgnacji loków.
S³u¿y do odchudzania, wzmacniania uk³adu odpornoœciowego, gojenia.
Ró¿ne produkty kosmetyczne do twarzy.";CANOLA OIL;1;{Emolient}
69;Kwas hydroksamowy;3;£agodny œrodek konserwuj¹cy i kompleksuj¹cy. Skuteczny sk³adnik grzybobójczy. Kompatybilny z wiêkszoœci¹ sk³adników kosmetycznych o neutralnym pH. Ale mo¿e wchodziæ w interakcje z jonami ¿elaza. Znajduje zastosowanie w produkcji kremów, balsamów, szamponów i ¿eli pod prysznic. ;CAPRYLHYDROXAMIC ACID;2;{Konserwant}
70;Trójgliceryd kaprylowo - kaprynowy;2;"Caprylic - Capric Trigliceryd jest silnie polarnym emolientem. Produkt jest pochodzenia roœlinnego, ma w³aœciwoœci zbli¿one do naturalnych trójglicerydów i pozostawia po aplikacji wspania³e uczucie na skórze.,

Podstawowe w³aœciwoœci:
Jest naturalnym œrodkiem zmiêkczaj¹cym skórê, nie pozostawia t³ustego uczucia na skórze
Poprawia w³aœciwoœci sensoryczne produktu kosmetycznego
Jest skutecznym rozpuszczalnikiem. Witaminy i inne chemikalia rozpuszczalne w t³uszczach ³atwo rozpuszczaj¹ siê w triglicerydzie kaprycznym/kaprylowym
Doskona³y „transporter” (echanster) sk³adników rozpuszczalnych w t³uszczach, filtrów UV, olejków roœlinnych i eterycznych
Ma nisk¹ toksycznoœæ doustn¹
Ma ³agodne w³aœciwoœci dermatologiczne na skórê i oczy
Nie komedogenny
Poprawia poœlizg i rozprowadzalnoœæ produktu kosmetycznego
Zmiêkcza skórê
Spowalnia utratê wody z powierzchni skóry tworz¹c barierê na powierzchni skóry
Dzia³a nie tylko przeciw wysuszaniu skóry, ale tak¿e jako od¿ywka do skóry
Szeroko rozpowszechniony w kosmetykach i produktach higieny osobistej ze wzglêdu na swoj¹ stabilnoœæ, rozpuszczalnoœæ oraz brak zapachu i koloru
Wspomaga dyspersjê pigmentów
Posiada wysok¹ odpornoœæ na utlenianie. Jest szczególnie przydatny jako stabilizator emulsji. Ta w³aœciwoœæ jest niezbêdna w przypadku produktów kosmetycznych, co pomaga wyd³u¿yæ ich trwa³oœæ.

Podanie:
Kosmetyki do pielêgnacji skóry twarzy, cia³a, powiek;
krem do golenia;
kosmetyki dekoracyjne;
œrodki do czyszczenia higieny osobistej;
œrodki do demakija¿u;
kosmetyki z filtrem przeciws³onecznym;
kosmetyki dla dzieci;
mieszanki dermatologiczne ";CAPRYLIC/CAPRIC TRIGLYCERIDE;1;{Emolient, modyfikator reologii}
71;Glikol kaprylowy;2;"Glikol kaprylowy to alkohol pochodz¹cy z kwasu kaprylowego, który naturalnie wystêpuje w olejach palmowych i kokosowych. Deweloperzy uwielbiaj¹ go z kilku powodów: Po pierwsze, poprawia rozp³yw, a ostatecznie odczucie produktu na skórze. Po drugie, poniewa¿ jest antybakteryjny, ma w³aœciwoœci konserwuj¹ce.

Glikol kaprylowy jest œrodkiem nawil¿aj¹cym, czyli substancj¹, która pomaga skórze zatrzymywaæ wodê. Œrodki nawil¿aj¹ce s¹ u¿ywane w balsamach, œrodkach nawil¿aj¹cych i detergentach w celu zatrzymywania wilgoci. Jest to wa¿ne, aby zapobiec wysuszeniu skóry, jednoczeœnie spowalniaj¹c oznaki starzenia.

Gdy skóra traci wilgoæ, zaczynamy widzieæ wiêcej linii, zmarszczek i zwiotczenia. Stosowanie produktów do pielêgnacji skóry z glikolem kaprylowym mo¿e pomóc w przyci¹ganiu wilgoci do skóry, powoduj¹c g³adsz¹, bardziej miêkk¹ cerê ze zmniejszonymi zmarszczkami.";CAPRYLYL GLYCOL;1;{Emolient}
72;Ekstrakt z papryki ostrej;1;"Ekstrakt z pieprzu Cayenne zawieraj¹cy kapsaicynê. Wed³ug producenta mo¿e stymulowaæ kr¹¿enie krwi w skórze, co mo¿e byæ korzystne w przypadku produktów antycellulitowych lub do masa¿u. Uwa¿aj na ni¹, jeœli Twoja skóra jest wra¿liwa, poniewa¿ równie¿ j¹ podra¿nia.

Pieprz Cayenne faktycznie zwiêksza przep³yw krwi do skóry, przynosz¹c ze sob¹ tlen i wiele wa¿nych sk³adników od¿ywczych. Poni¿ej znajduj¹ siê trzy schorzenia skóry, które mo¿na z³agodziæ za pomoc¹ pieprzu cayenne.

Tr¹dzik jest spowodowany blokad¹ porów skóry, która nastêpnie powoduje wzrost bakterii wspomagaj¹cych i powoduje tr¹dzik niezapalny (bia³e i zaskórniki) lub tr¹dzik zapalny (grudki i krosty).

Pieprz Cayenne pomaga stymulowaæ przep³yw krwi i otwiera zatkane pory. Mo¿esz zmieszaæ trochê pieprzu cayenne z ciep³¹ wod¹ i wypiæ rano lub mo¿esz na³o¿yæ pieprz cayenne na dotkniêty obszar. Jeœli masz tylko kilka pryszczy, najlepiej jest stosowaæ go miejscowo, ale jeœli masz silny tr¹dzik, spo¿ywanie pieprzu jako czêœæ codziennej diety jest najlepszym rozwi¹zaniem d³ugoterminowym.";CAPSICUM FRUTESCENS (CAYENNE) FRUIT EXTRACT;1;{Substancja aktywna, Ekstrakt}
73;Carbomer;3;"Carbomer to grupa zwi¹zków polimerowych, które powstaj¹ jako produkt rozk³adu kwasu akrylowego. Czêsto mo¿na us³yszeæ inne nazwy po³¹czenia. Substancja wykorzystywana jest do tworzenia wiêkszoœci kosmetyków. Jej rol¹ w sk³adzie jest ¿elowanie.

Wiele znanych marek, których produkty prezentowane s¹ na pó³kach sklepów w naszym kraju, wykorzystuje do tworzenia swoich produktów carbomery. Kremy do twarzy, szampony, ¿ele do golenia, maseczki do w³osów i inne kosmetyki zawieraj¹ karbomery. Ta popularnoœæ wynika z dobrych w³aœciwoœci strukturotwórczych mieszanki. Dodatkowo substancja ta ma nisk¹ cenê, dlatego producenci wybieraj¹ j¹ jako zagêstnik do swoich produktów.

Carbomer powoduje szkody, aczkolwiek minimalne. Chemicy uwa¿aj¹ tê substancjê obojêtn¹, jest to jeden z powodów, dla których tak czêsto jest ona wykorzystywana w tworzeniu kosmetyków, a nawet preparatów medycznych. Ale bior¹c pod uwagê fakt, ¿e reakcja alergiczna po u¿yciu produktu zawieraj¹cego karbomer ma tendencjê do wystêpowania, nale¿y zachowaæ ostro¿noœæ podczas jego stosowania. Przed u¿yciem produktów zawieraj¹cych ten zwi¹zek warto przeprowadziæ test alergiczny. Aby to zrobiæ, nale¿y na³o¿yæ niewielk¹ iloœæ kompozycji na skórê przedramienia i odczekaæ 30 minut na reakcjê. ";CARBOMER;3;{Œrodek nadaj¹cy strukturê, emulgator, wype³niacz, stabilizator emulsji, stabilizator lepkoœci }
74;Ekstrakt z papai;1;"Pochodz¹ca z po³udniowego Meksyku papaja jest obecnie uprawiana w wiêkszoœci krajów tropikalnych, takich jak Brazylia, Filipiny i Jamajka. Ekstrakt z papai powstaje z mi¹¿szu lub skórki owocu.

Papaja jest owocem roœliny papai Carica. Pochodzi z tropików obu Ameryk i po raz pierwszy zosta³a wyhodowana w Meksyku. Owoce je siê œwie¿e lub niedojrza³¹ papajê mo¿na wykorzystaæ w gotowanych posi³kach. Ekstrakt z owoców wykazuje znacz¹ce w³aœciwoœci antybakteryjne i jest stosowany miejscowo w leczeniu skaleczeñ, wysypek, ugryzieñ i oparzeñ.

Ekstrakt z owoców papai jest skutecznym nieœciernym œrodkiem z³uszczaj¹cym. Enzym zawarty w owocach, papaina, pomaga usuwaæ zanieczyszczenia i martwe komórki naskórka. Uwa¿a siê, ¿e regularne stosowanie sk³adnika pomaga pozbyæ siê tr¹dziku, blizn i uszkodzeñ s³onecznych.

Jedna porcja owoców papai dostarcza ponad 140% zalecanej dziennej dawki witaminy C, czyli wiêcej ni¿ pomarañcza! Witamina C jest silnym przeciwutleniaczem od¿ywczym, który w po³¹czeniu z wysok¹ zawartoœci¹ karotenów (pigmentów roœlinnych) i flawonoidów neutralizuje wolne rodniki, które mog¹ uszkadzaæ zdrowe komórki skóry, prowadz¹c do powstawania ciemnych plam i oznak przedwczesnego starzenia. Ten wysoki poziom przeciwutleniaczy pomaga równie¿ chroniæ skórê przed uszkodzeniami i zanieczyszczeniami spowodowanymi promieniowaniem UV, tworz¹c naturaln¹ barierê – chroni¹c j¹ przez ca³y dzieñ, niezale¿nie od warunków.";CARICA PAPAYA FRUIT EXTRACT;1;{Substancja aktywna, Ekstrakt}
75;Karagen, Karagenian;2;W³aœciwoœci karageniny stosowanej w kosmetykach: Przeciw starzeniu. Dziêki du¿ej zawartoœci witaminy K, karagenina blokuje w organizmie produkcjê pierwiastków zapalnych, które hamuj¹ uk³ad odpornoœciowy i s³u¿¹ jako sygna³ do starzenia, a tak¿e pomagaj¹ zmiêkczyæ i wyg³adziæ skórê. Nawil¿aj¹cy. Dziêki swojej hydrofilowoœci karagenina zatrzymuje wilgoæ w górnej warstwie skóry, tworz¹c na jej powierzchni g³adk¹ warstwê zatrzymuj¹c¹ wilgoæ. Przeciwzapalny. Karagenina ma w³aœciwoœci antybakteryjne, przyspiesza gojenie drobnych stanów zapalnych, odparzeñ, otaræ skóry, chroni skórê przed szkodliwym zewnêtrznym dzia³aniem s³oñca, wiatru i z³ych warunków œrodowiskowych. Karagen wchodzi w sk³ad leków stosowanych w leczeniu ³uszczycy, egzemy, tr¹dziku. Substancja ta jest równie¿ stosowana jako œrodek przeczyszczaj¹cy i zmiêkczaj¹cy w niektórych chorobach uk³adu oddechowego. Kosmetyki, w których wystêpuje karagen: kremy na dzieñ, ¿ele, emulsje do cery suchej kosmetyki przeciwstarzeniowe balsamy zmiêkczaj¹ce, mleczko do cia³a krem do depilacji kosmetyki do golenia szampony, od¿ywki do w³osów suchych i zmatowionych ¿el pod prysznic myd³o w p³ynie pasta do zêbów Sól do k¹pieli Kosmetyki karagenowe przechowuje siê w szafie lub lodówce. Stosowanie kosmetyków z karagenin¹ jest niepo¿¹dane: w okresie ci¹¿y i laktacji z indywidualn¹ nietolerancj¹ krasnorostów i ich sk³adników z ¿ylakami i zakrzepowym zapaleniem ¿y³, poniewa¿ karagen zwiêksza krzepliwoœæ krwi i mo¿e wywo³ywaæ zakrzepy krwi Karagen jest naturalnym œrodkiem ¿eluj¹cym, naturalnym zagêszczaczem, otrzymywanym z przerobu czerwonych wodorostów znanych jako mech irlandzki lub karagenina. Takie glony s¹ szczególnie powszechne w Oceanie Atlantyckim, u wybrze¿y Wielkiej Brytanii i Ameryki Pó³nocnej, a swoj¹ nazwê wziê³y od wioski Carrageen, po³o¿onej na irlandzkim wybrze¿u. Karagen zwykle roœnie na g³êbokoœci dwóch metrów, ka¿da alga dorasta do 10-15 cm i czasami wa¿y oko³o kilograma. Algi s¹ bardzo po¿ywne i bogate w ró¿ne pierwiastki bioaktywne (jod, ¿elazo, selen, magnez, brom, wapñ, du¿o witaminy K i inne cenne substancje), które np. Chiñczycy znali i stosowali do leczenia chorych od wieków temu. Kolejna cenna substancja z tych alg - wielkocz¹steczkowy polisacharyd siarczanowy zwany karagenin¹ - zaczêto stosowaæ na skalê przemys³ow¹ stosunkowo niedawno, bo w latach 30. ubieg³ego wieku. Ten galaretowaty ekstrakt z alg okaza³ siê doskona³ym naturalnym emulgatorem, poniewa¿ dobrze rozpuszcza siê w wodzie i ³atwo „rozpuszcza” w glicerynie, równomiernie miesza produkty mleczne, za co szczególnie uwielbiaj¹ go kulinarni specjaliœci. Obecnie karagenina jest zarejestrowana jako dodatek do ¿ywnoœci E-407, stosowana jest do wyrobu produktów miêsnych (np. bezmiêsne miêso bez t³uszczu), do deserów, lodów, koktajli, jogurtów, wyrobów cukierniczych. Karagen jest bardzo dobrym œrodkiem stabilizuj¹cym i ¿eluj¹cym, zachowuje strukturê substancji, do której zosta³ dodany, nawet w temperaturze pokojowej i przy niskim nagrzaniu, zapobiega tworzeniu siê w nim grudek, jej wysychaniu i twardnieniu. Jest doskonale kompatybilny z niemal wszystkimi naturalnymi i syntetycznymi substancjami, dziêki czemu znalaz³ szerokie zastosowanie w kosmetologii. Z mchu irlandzkiego pozyskiwane s¹ dwa rodzaje karagenu, z których jeden – pó³rafinowany – mo¿e wi¹zaæ siê z nieswoistym zapaleniem jelit, dlatego zdaniem ekspertów z WHO i FDA mo¿e byæ stosowany wy³¹cznie w budownictwie produkcja uszczelniaczy. Drugi - rafinowany - jest doœæ nieszkodliwy, niemniej jednak nie zaleca siê stosowania tego stabilizatora do przygotowania mieszanki dla niemowl¹t. Jako sk³adnik kosmetyków karagen nie ma absolutnie ¿adnego wp³ywu na zdrowie cz³owieka i mo¿e byæ bezpiecznie zawarty w kosmetykach w granicach dozwolonych przez organizacje regulacyjne. Sk¹d bierzesz karageninê do kosmetyków? G³ównym dostawc¹ karagenu dla przemys³u spo¿ywczego i kosmetycznego s¹ dziœ Filipiny, gdzie mech irlandzki uprawiany jest na specjalnych plantacjach - glony s¹ mocowane i hodowane na nylonowych linach zag³êbionych w morzu, a ich zbiór odbywa siê co 3 miesi¹ce. Od dawnych czasów karageninê pozyskiwano przez wielogodzinne gotowanie alg w wodzie z alkaliami. Nastêpnie bulion przefiltrowano, a pozosta³¹ ¿elowat¹ masê wysuszono, sprasowano i zmielono na proszek. Dziœ mech irlandzki jest najpierw suszony, pakowany i wysy³any do zak³adu przetwórstwa alg. Nastêpnie surowiec zostaje wyp³ukany wod¹ i alkoholem z piasku i gruzu, poddany dzia³aniu wodorotlenku potasu, odwirowany, wielokrotnej filtracji, odparowania i suszenia. Wysuszona substancja jest rozdrabniana na proszek - drobny, bia³y lub jasnobe¿owy, bez smaku i zapachu.;CARRAGEENAN;1;{Zagêstnik, Sk³adnik ¿eluj¹cy, Substancja nawil¿aj¹ca, Substancja aktywna}
76;Olej z krokosza barwierskiego  ;1;"Ma wyj¹tkow¹ cechê wœród innych olejów roœlinnych – zawiera najwy¿szy procent kwasu linolowego z klasy wielonienasyconych kwasów t³uszczowych omega-6 (oko³o 70%). Ponadto okazuje siê, ¿e jest bardzo bogaty w witaminê E i K w porównaniu z innymi olejami. W³aœciwoœci oleju z krokosza stosowanego w kosmetyce:

Przeciw starzeniu. Olej intensywnie zmiêkcza i od¿ywia skórê, odbudowuje b³ony komórkowe, wyg³adza drobne kurze ³apki i hamuje pog³êbianie siê du¿ych zmarszczek, uelastycznia skórê i zwiêksza jej elastycznoœæ.

Nawil¿aj¹cy. Olej z krokosza barwierskiego bardzo intensywnie wzmacnia warstwê lipidow¹ skóry, ³atwo siê wch³ania, wnikaj¹c bardzo g³êboko w skórê i zapobiegaj¹c jej utracie wilgoci.

Ochronny. Olej z krokosza barwierskiego dziêki wysokiej zawartoœci witaminy E ma silne w³aœciwoœci antyoksydacyjne i chroni skórê przed uszkodzeniem przez promienie UV i inne szkodliwe czynniki œrodowiskowe.

Gojenie: zdrowienie. Olej  poprawia krzepliwoœæ krwi, szybko odbudowuje warstwê naskórka i przyspiesza gojenie siê ran, skaleczeñ, zadrapañ, zmiêkcza pêkniêcia i podra¿nienia skóry.

Ujêdrniaj¹cy. Olejek  wzmacnia œciany naczyñ w³osowatych i jest liderem w walce z tr¹dzikiem ró¿owatym, tr¹dzikiem ró¿owatym; poprawia od¿ywienie mieszków w³osowych, zapobiega wypadaniu w³osów, walczy z ³amliwoœci¹ i ko³tunami.

Regulacyjne. Olej z krokosza barwierskiego w sk³adzie produktów do masa¿u stymuluje redukcjê tkanki t³uszczowej i aktywnie zwalcza cellulit.

Przeciwzapalny. Olej z krokosza barwierskiego ma doœæ silne w³aœciwoœci antybakteryjne, a bior¹c pod uwagê jego zdolnoœæ do regulowania metabolizmu t³uszczów, mo¿e byæ bardzo skuteczn¹ kuracj¹ dla skóry sk³onnej do tr¹dziku. Kosmetyki, w których wystêpuje olejek:

    Krem na noc do skóry starzej¹cej siê i zwiotcza³ej
    Maseczki, serum do starzej¹cej siê skóry
    Kosmetyki do pielêgnacji skóry wokó³ oczu
    Œrodki na tr¹dzik ró¿owaty
    Krem na dzieñ do skóry suchej i wra¿liwej
    Kosmetyki do opalania
    Nawil¿aj¹cy krem ??do twarzy i cia³a
    Problematyczne produkty do pielêgnacji skóry
    Pomadka
    Maseczki wzmacniaj¹ce, szampony, balsamy do w³osów
    Zmiêkczaj¹cy, ochronny krem ??do r¹k
    Kosmetyki po goleniu";CARTHAMUS TINCTORIUS (SAFFLOWER) SEED OIL;1;{Emolient}
77;CASSIA HYDROXYPROPYLTRIMONIUM CHLORIDE;2;"• pochodzenie naturalne
• bezpieczna dla œrodowiska substancja uzyskana z nasion kasji (Cassia Obovata)
• ma mocne dzia³anie od¿ywiaj¹ce i kondycjonuj¹ce zarówno dla skóry g³owy jak i w³osów
• poprawia kondycjê w³osów i u³atwia rozczesywanie ";CASSIA HYDROXYPROPYLTRIMONIUM CHLORIDE;1;{Substancja aktywna, Antystatyk, Substancja od¿ywcza, Substancja kondycjonuj¹ca}
78;Ekstrakt z cedru altajskiego;1;"Cedrus atlantica, znany równie¿ jako cedr atlantycki, to drzewo cedrowe pochodz¹ce z gór Atlas w Maroku. Ekstrakt z drzewa cedrowego Atlas jest pozyskiwany z wiórów drzewnych i trocin wytwarzanych w przemyœle meblarskim. Ekstrakt ten jest u¿ywany jako sk³adnik aromatyczny w produktach higieny osobistej, takich jak dezodoranty i myd³a zapachowe ze wzglêdu na s³odki, drzewny i ³agodny zapach kamfory.

Oprócz przyjemnego zapachu, ekstrakt z drzewa cedrowego Atlas zapewnia wiele korzyœci po na³o¿eniu na skórê. Na przyk³ad ma dzia³anie antybakteryjne i mo¿e pomóc zmniejszyæ przet³uszczanie siê skóry, które s¹ doskona³ymi w³aœciwoœciami w zapobieganiu i leczeniu tr¹dziku. Wyci¹g z drzewa cedrowego Atlas ma równie¿ w³aœciwoœci œci¹gaj¹ce, które pomagaj¹ tymczasowo tonizowaæ i napinaæ skórê. Wreszcie, ekstrakt z drzewa cedrowego Atlas dzia³a jako naturalny œrodek odstraszaj¹cy owady, szczególnie przeciwko komarom, roztoczom i ciemom.

Jego ekstrakt zawiera polifenole i polisacharydy, które s¹ uwa¿ane za korzystne w leczeniu pod oczami. Ekstrakt ma charakter przeciwutleniaj¹cy i przeciwzapalny, dziêki czemu korzystnie wp³ywa na poprawê zdrowia starzej¹cej siê skóry poprzez zmniejszenie wp³ywu stresu oksydacyjnego na skórê. Dodatkowo ekstraktem leczy siê wszelkie zaczerwienienia lub swêdzenie skóry.";CEDRUS ATLANTICA WOOD EXTRACT;1;{Substancja aktywna, Ekstrakt}
79;Celuloza;2;"Celuloza jest dobrze znanym i rozpowszechnionym naturalnym polisacharydem (nie wch³anianym przez organizm), ale pod ka¿dym wzglêdem u¿yteczn¹ substancj¹. Jest to liniowy polimer sk³adaj¹cy siê z reszt cz¹steczek glukozy. W kosmetyce celuloza mo¿e pe³niæ ró¿norodne funkcje, a my skupimy siê tylko na najwa¿niejszych z nich, czyli takich, które mog¹ wp³ywaæ na stan skóry lub efekt pielêgnacji kosmetycznej.

Celuloza mikrokrystaliczna jest równie¿ wprowadzana do preparatów kosmetycznych w celu zmniejszenia lub wyeliminowania kleistoœci, lepkoœci lub fibrylacji substancji, na przyk³ad w kompozycjach z dodatkiem ¿ywic organicznych lub polimerów. Czêsto synergiczny z organicznymi zagêszczaczami. Jednak¿e, aby zapewniæ po¿¹dane w³aœciwoœci u¿ytkowe, formu³a musi byæ wystarczaj¹co uwodniona, a celuloza mikrokrystaliczna odpowiednio zdyspergowana w wodzie.

Oprócz form, takich jak celuloza mikrokrystaliczna, w kosmetyce istniej¹ inne odmiany. Na przyk³ad CMC to skrót od karboksymetylocelulozy, zwanej równie¿ celuloz¹ z glikolanu sodu. CMC tworzy rozpuszczalne w wodzie sole sodowe, które maj¹ w³aœciwoœci napinaj¹ce skórê i s¹ równie¿ wykorzystywane do tworzenia produktów oczyszczaj¹cych skórê, które s¹ szczególnie skuteczne w usuwaniu cz¹steczek brudu ze skóry.

Inna forma, hydroksyetyloceluloza (HEC), jest pochodn¹ celulozy i tlenku etylenu. Wraz z hydroksypropyloceluloz¹ (HPC) i hydroksypropylometyloceluloz¹ (HPMC, hypromeloza) jest szeroko stosowana jako zagêszczacz w kompozycjach wodnych (olej w wodzie). W zale¿noœci od warunków produkcji i jakoœci, hydroksyetyloceluloza mo¿e zawieraæ ³añcuchy boczne tlenku etylenu. W przeciwieñstwie do innych pochodnych celulozy, takich jak metyloceluloza, hydroksyetyloceluloza tworzy elastyczn¹, wodoodporn¹ pow³okê w produktach do pielêgnacji skóry.

Inn¹ form¹ czêsto spotykan¹ w kosmetykach jest metyloceluloza (MC), która wykazuje wyraŸne w³aœciwoœci emulguj¹ce i jest wysoce dyspergowalna w wodzie. Tak wiêc metyloceluloza mo¿e z jednej strony tworzyæ ¿ele, a z drugiej zwiêkszaæ lipofilnoœæ kosmetyku w po³¹czeniu z grupami metylowymi. W zwi¹zku z tym metyloceluloza ma bardzo szerokie zastosowanie, choæ najczêœciej jest u¿ywana jako zagêszczacz do szamponów i myde³ w p³ynie. To samo mo¿na powiedzieæ o innej postaci tego sk³adnika kosmetycznego, etylocelulozie (EC).

Celuloza w ró¿nych postaciach mo¿e zawieraæ dowoln¹ p³ynn¹ postaæ kosmetyków – od ¿eli po emulsje i kremy. Zgodnie z Rozporz¹dzeniem Unii Europejskiej standardowe stê¿enie tego sk³adnika w gotowych produktach kosmetycznych powinno wahaæ siê w granicach 0,5-3%. ";CELLULOSE;1;{Zagêstnik, modyfikator reologii, poprawia rozsmarowywalnoœæ}
80;Sól sodowa karboksymetylocelulozy;3;Guma celulozowa (sól sodowa karboksymetylocelulozy, CMC) jest anionowym, rozpuszczalnym w wodzie polimerem, który jest szeroko stosowany w pastach do zêbów jako zagêszczacz do wi¹zania wody w celu zapobiegania synerezie i nadawania po¿¹danym w³aœciwoœciom rozlewnoœci formulacjom past do zêbów. Oprócz formulacji past do zêbów, guma celulozowa jest równie¿ stosowana w klejach do protez dentystycznych i proszkach, aby zapewniæ utrwalenie. Guma celulozowa jest dostêpna w szerokiej gamie gatunków, aby zaspokoiæ potrzeby w zakresie formulacji. Guma celulozowa jest pochodn¹ naturalnych, odnawialnych zasobów.;CELLULOSE GUM;1;{Zagêstnik}
81;Ekstrakt z kwiatów b³awatka;1;Chaber b³awatek lub Centaurea cyanus z rodziny Asteraceae to gatunek roœliny pochodz¹cy z Europy, który zadomowi³ siê w ca³ej Ameryce Pó³nocnej. Roœlina nazywa siê Bluebottle lub Bluebonnet. Nazwy te zosta³y zainspirowane niebieskimi p³atkami oryginalnej odmiany, chocia¿ kwiaty s¹ dostêpne w innych odcieniach, takich jak czerwony, bia³y i ró¿owy. Niebieskie g³ówki kwiatowe o d³ugich ³odygach wytwarzaj¹ sok, który po zmieszaniu z a³unem mo¿e byæ u¿yty jako barwnik. Górne czêœci roœliny sk³adaj¹ siê z wielu ³odyg kwiatowych, a liœcie pokryte s¹ drobnymi bia³ymi w³oskami, które nadaj¹ roœlinie niebieskawo-szary odcieñ. S¹ jadalne i œwietnie nadaj¹ siê do mieszanek herbat. Od niedawna b³awatki wlewa siê do wody kwiatowej i stosuje w zabiegach kosmetycznych, poniewa¿ zawarte w ekstrakcie polifenole, antocyjany i flawonoidy dzia³aj¹ korzystnie na skórê i w³osy. Dziêki w³aœciwoœciom przeciwzapalnym, chaber jest doskona³y dla skóry problematycznej. Pomaga, zmniejszaj¹c zaczerwienienia, obrzêki, a nawet infekcje, dziêki czemu doskonale radzi sobie z wypryskami.;CENTAUREA CYANUS FLOWER EXTRACT;1;{Substancja aktywna, Ekstrakt}
